timestamp,model,prompt_mode,scale,layer,num_sentences,num_trials,accuracy,chance,elapsed_seconds,platform
2026-01-18T17:29:59.618758,meta-llama/Llama-3.2-1B-Instruct,preference,10.0,0.25,5,100,18.0,20.0,25.90142583847046,modal-A100
2026-01-18T17:30:50.612207,meta-llama/Llama-3.2-1B-Instruct,random,10.0,0.25,5,100,18.6,20.0,31.34837579727173,modal-A100
2026-01-18T17:31:33.447569,meta-llama/Llama-3.2-1B-Instruct,longest,10.0,0.25,5,100,29.4,20.0,25.087875843048096,modal-A100
2026-01-18T17:32:16.965275,meta-llama/Llama-3.2-1B-Instruct,first,10.0,0.25,5,100,20.4,20.0,27.272894144058228,modal-A100
2026-01-18T17:33:01.278362,meta-llama/Llama-3.2-1B-Instruct,interesting,10.0,0.25,5,100,19.2,20.0,27.725483655929565,modal-A100
2026-01-18T17:33:41.824964,meta-llama/Llama-3.2-1B-Instruct,happy,10.0,0.25,5,100,15.0,20.0,25.388566493988037,modal-A100
2026-01-18T17:45:05.500104,Qwen/Qwen2.5-14B-Instruct,longest,10.0,0.25,5,100,60.0,20.0,177.82835054397583,modal-A100
2026-01-18T17:49:55.414896,Qwen/Qwen2.5-14B-Instruct,shortest,10.0,0.25,5,100,29.6,20.0,153.62066626548767,modal-A100
2026-01-18T17:57:02.578756,Qwen/Qwen2.5-14B-Instruct,introspection,10.0,0.25,5,100,89.2,20.0,158.0695185661316,modal-A100
2026-01-18T18:05:19.253321,Qwen/Qwen2.5-14B-Instruct,different,10.0,0.25,5,100,76.2,20.0,160.4230215549469,modal-A100
2026-01-18T18:09:33.039681,Qwen/Qwen2.5-14B-Instruct,standout,10.0,0.25,5,100,80.4,20.0,163.87106156349182,modal-A100
2026-01-18T18:16:15.802323,Qwen/Qwen2.5-14B-Instruct,alphabetical,10.0,0.25,5,100,29.8,20.0,150.43082904815674,modal-A100
2026-01-18T18:19:24.263568,Qwen/Qwen2.5-14B-Instruct,complex,10.0,0.25,5,100,77.4,20.0,172.13881087303162,modal-A100
2026-01-18T18:22:22.298462,Qwen/Qwen2.5-14B-Instruct,concrete,10.0,0.25,5,100,1.0,20.0,160.64688897132874,modal-A100
2026-01-18T18:24:15.295205,Qwen/Qwen2.5-14B-Instruct,longest_primed,10.0,0.25,5,100,80.8,20.0,158.09786415100098,modal-A100
2026-01-18T18:25:31.766647,Qwen/Qwen2.5-14B-Instruct,negative,10.0,0.25,5,100,66.2,20.0,170.70080637931824,modal-A100
2026-01-18T18:27:17.908100,Qwen/Qwen2.5-14B-Instruct,longest_expert,10.0,0.25,5,100,77.0,20.0,165.94448709487915,modal-A100
2026-01-18T18:28:30.292148,Qwen/Qwen2.5-14B-Instruct,contains_person,10.0,0.25,5,100,4.4,20.0,161.72542428970337,modal-A100
2026-01-18T19:18:29.397719,Qwen/Qwen2.5-14B-Instruct,standout_primed,10.0,0.25,5,100,80.2,20.0,179.8008189201355,modal-A100
2026-01-18T19:21:29.932890,Qwen/Qwen2.5-14B-Instruct,preference,10.0,0.25,5,100,4.6,20.0,163.02499341964722,modal-A100
2026-01-18T19:24:49.699286,Qwen/Qwen2.5-14B-Instruct,random,10.0,0.25,5,100,11.6,20.0,181.71691179275513,modal-A100
2026-01-18T19:27:52.047853,Qwen/Qwen2.5-14B-Instruct,abstract,10.0,0.25,5,100,90.0,20.0,165.27808904647827,modal-A100
2026-01-18T19:33:29.908442,meta-llama/Llama-3.2-1B-Instruct,abstract,10.0,0.25,5,100,34.4,20.0,25.219459295272827,modal-A100
2026-01-18T19:34:36.215461,meta-llama/Llama-3.2-3B-Instruct,abstract,10.0,0.25,5,100,73.6,20.0,50.581812143325806,modal-A100
2026-01-18T19:36:33.250701,Qwen/Qwen2.5-7B-Instruct,abstract,10.0,0.25,5,100,85.8,20.0,94.27703189849854,modal-A100
2026-01-18T21:32:20.706268,Qwen/Qwen2.5-7B-Instruct,intro_random,prompts_sentiment.txt10.0,0.25,5,100,21.4,20.0,86.19655275344849,modal-A100
2026-01-19T19:07:05.456696,Qwen/Qwen2.5-14B-Instruct,introspection,prompts_sentiment.txt10.0,0.25,5,100,82.2,20.0,176.8823618888855,modal-A100
2026-01-19T19:17:18.433733,Qwen/Qwen2.5-14B-Instruct,introspection,prompts_random.txt,10.0,0.25,5,100,60.4,20.0,179.589369058609,modal-A100
2026-01-19T19:32:56.752988,Qwen/Qwen2.5-14B-Instruct,introspection,RANDOM_NOISE,10.0,0.25,5,100,64.0,20.0,179.22972893714905,modal-A100
2026-01-19T19:42:36.806431,Qwen/Qwen2.5-14B-Instruct,noise,RANDOM_NOISE,10.0,0.25,5,100,29.6,20.0,130.83917903900146,modal-A100
2026-01-19T19:49:23.725107,Qwen/Qwen2.5-14B-Instruct,noise,prompts.txt,10.0,0.25,5,100,59.4,20.0,167.6217279434204,modal-A100
2026-01-19T19:53:34.616070,Qwen/Qwen2.5-14B-Instruct,introspection,prompts_alarm.txt,10.0,0.25,5,100,80.2,20.0,166.72492027282715,modal-A100
2026-01-19T19:54:12.902905,Qwen/Qwen2.5-14B-Instruct,alarm,prompts_alarm.txt,10.0,0.25,5,100,46.2,20.0,168.4880759716034,modal-A100
2026-01-19T19:58:42.033055,Qwen/Qwen2.5-14B-Instruct,introspection_alarm,prompts_alarm.txt,10.0,0.25,5,100,41.0,20.0,158.05494809150696,modal-A100
